
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 05/13/2015

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
1011348529            05/05/2015  06/09/2015         515.97
5246257504            05/05/2015  06/09/2015        2485.39
6533151400            05/05/2015  06/09/2015       11778.29
6611367506            05/05/2015  06/09/2015         156.89
7152308461            05/05/2015  06/09/2015        2454.43
8371427504            05/05/2015  06/09/2015        1237.05
8381307506            05/05/2015  06/09/2015         279.56
9273322504            05/05/2015  06/09/2015         559.58
9596382508            05/05/2015  06/09/2015       14709.05
0215490004            05/06/2015  06/10/2015         111.27
0851910000            05/06/2015  06/10/2015         776.93
1704970001            05/06/2015  06/10/2015           7.84
1735865006            05/06/2015  06/10/2015         138.44
2186032500            05/06/2015  06/10/2015        1140.86
2752013074            05/06/2015  06/10/2015          43.11
2959751336            05/06/2015  06/10/2015          16.87
3033837505            05/06/2015  06/10/2015         162.68
3419594464            05/06/2015  06/10/2015        2858.32
3870683699            05/06/2015  06/10/2015         152.34
4676162508            05/06/2015  06/10/2015          21.88
5265675008            05/06/2015  06/10/2015         226.79
5746157501            05/06/2015  06/10/2015          47.09
5837025922            05/06/2015  06/10/2015         129.15
6395925008            05/06/2015  06/10/2015         154.02
7568833136            05/06/2015  06/10/2015           8.90
8486060000            05/06/2015  06/10/2015         741.41
8555470007            05/06/2015  06/10/2015          66.52
9006000005            05/06/2015  06/10/2015         167.55
9026057506            05/06/2015  06/10/2015         493.77
9423383257            05/06/2015  06/10/2015         149.07
9581789907            05/06/2015  06/10/2015          16.46
0313545006            05/07/2015  06/11/2015          87.10
1122287962            05/07/2015  06/11/2015         181.25
1156320002            05/07/2015  06/11/2015        3249.72
1545407502            05/07/2015  06/11/2015         117.81
1856265002            05/07/2015  06/11/2015        2992.91
4006384632            05/07/2015  06/11/2015          20.56
4452642962            05/07/2015  06/11/2015       16997.97
4696475005            05/07/2015  06/11/2015       21347.99
6414967502            05/07/2015  06/11/2015          25.27
6604225000            05/07/2015  06/11/2015           6.67
6626365008            05/07/2015  06/11/2015        7906.60
7146330001            05/07/2015  06/11/2015        2469.41
7352631019            05/07/2015  06/11/2015        2350.27
8703872054            05/07/2015  06/11/2015        1172.91
8955365005            05/07/2015  06/11/2015         737.81
0442731477            05/08/2015  06/12/2015          65.85
0662927573            05/08/2015  06/12/2015        1621.20
0979288487            05/08/2015  06/12/2015          20.81
1043295003            05/08/2015  06/12/2015          31.15
1312808247            05/08/2015  06/12/2015          60.43
2040619443            05/08/2015  06/12/2015        7046.41
2174476057            05/08/2015  06/12/2015          88.29
2225822507            05/08/2015  06/12/2015         410.44
2371115839            05/08/2015  06/12/2015          66.80
2923347955            05/08/2015  06/12/2015         102.86
3103257501            05/08/2015  06/12/2015         251.23
3104883701            05/08/2015  06/12/2015        3621.20
3470617501            05/08/2015  06/12/2015         203.20
4802659823            05/08/2015  06/12/2015       13145.47
5680981221            05/08/2015  06/12/2015          15.97
6070697393            05/08/2015  06/12/2015           9.48
6318036420            05/08/2015  06/12/2015          46.50
6670610002            05/08/2015  06/12/2015          61.98
6855697501            05/08/2015  06/12/2015         329.33
7199264891            05/08/2015  06/12/2015          73.49
7236357500            05/08/2015  06/12/2015        2797.72
7320592509            05/08/2015  06/12/2015          46.31
7448178173            05/08/2015  06/12/2015         113.70
7835036513            05/08/2015  06/12/2015        1442.32
8659213329            05/08/2015  06/12/2015          40.81
8954752245            05/08/2015  06/12/2015          59.95
8965342507            05/08/2015  06/12/2015         143.85
9091146192            05/08/2015  06/12/2015         140.95
9216886433            05/08/2015  06/12/2015          55.50
0014940001            05/11/2015  06/15/2015         728.15
2990617504            05/11/2015  06/15/2015          53.01
4032400121            05/11/2015  06/15/2015         497.63
5863539630            05/11/2015  06/15/2015        1568.55
6265845005            05/11/2015  06/15/2015         770.00
6904957500            05/11/2015  06/15/2015         161.25
7800570009            05/11/2015  06/15/2015         563.35
7852141840            05/11/2015  06/15/2015        2366.69
9304957500            05/11/2015  06/15/2015         297.32

84 VA Dominion Invoices for a Total Invoice Amount of $140590.88

84 Total Alexandria Invoices for a Total Invoice Amount of $140590.88


Organization:   Total

84 Total Invoices for a Total Invoice Amount of $140590.88

