
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 05/17/2017

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0442731477            05/09/2017  06/13/2017          75.30
0662927573            05/09/2017  06/13/2017        2611.01
0979288487            05/09/2017  06/13/2017          62.46
1043295003            05/09/2017  06/13/2017          61.39
1312808247            05/09/2017  06/13/2017          60.49
2040619443            05/09/2017  06/13/2017        7515.84
2174476057            05/09/2017  06/13/2017          80.95
2225822507            05/09/2017  06/13/2017         265.48
2371115839            05/09/2017  06/13/2017          79.16
2923347955            05/09/2017  06/13/2017         120.15
3092500747            05/09/2017  06/13/2017          78.78
3103257501            05/09/2017  06/13/2017         261.13
3104883701            05/09/2017  06/13/2017        4375.35
3470617501            05/09/2017  06/13/2017         196.86
4802659823            05/09/2017  06/13/2017       14370.63
5680981221            05/09/2017  06/13/2017          17.16
6070697393            05/09/2017  06/13/2017           9.08
6318036420            05/09/2017  06/13/2017          44.44
6670610002            05/09/2017  06/13/2017         112.93
6855697501            05/09/2017  06/13/2017         326.80
7199264891            05/09/2017  06/13/2017          86.56
7236357500            05/09/2017  06/13/2017        3072.04
7320592509            05/09/2017  06/13/2017          53.78
7448178173            05/09/2017  06/13/2017          97.54
7835036513            05/09/2017  06/13/2017        1391.19
8659213329            05/09/2017  06/13/2017          42.42
8954752245            05/09/2017  06/13/2017          63.46
8965342507            05/09/2017  06/13/2017         340.34
9091146192            05/09/2017  06/13/2017         162.70
9216886433            05/09/2017  06/13/2017          69.19
9628787443            05/09/2017  06/13/2017          39.69
0014940001            05/10/2017  06/14/2017         858.63
2990617504            05/10/2017  06/14/2017          44.50
4032400121            05/10/2017  06/14/2017         599.03
5863539630            05/10/2017  06/14/2017        2250.92
6265845005            05/10/2017  06/14/2017         931.84
6904957500            05/10/2017  06/14/2017         223.83
7800570009            05/10/2017  06/14/2017         897.62
7852141840            05/10/2017  06/14/2017        2642.39
9304957500            05/10/2017  06/14/2017         100.17
0035425008            05/11/2017  06/15/2017          60.01
0045282506            05/11/2017  06/15/2017          42.93
0865355002            05/11/2017  06/15/2017          86.08
0875041303            05/11/2017  06/15/2017          36.62
0886617919            05/11/2017  06/15/2017          21.29
0899594022            05/11/2017  06/15/2017          26.03
0906461793            05/11/2017  06/15/2017          34.63
0917312621            05/11/2017  06/15/2017          37.00
0925594723            05/11/2017  06/15/2017          44.90
0939811717            05/11/2017  06/15/2017          35.13
0949361505            05/11/2017  06/15/2017          24.66
0957987662            05/11/2017  06/15/2017          28.51
0962345666            05/11/2017  06/15/2017          12.21
1030506974            05/11/2017  06/15/2017          17.25
1338347873            05/11/2017  06/15/2017          47.26
2278126202            05/11/2017  06/15/2017          47.07
2342127509            05/11/2017  06/15/2017         464.75
2596065009            05/11/2017  06/15/2017          90.32
3004480236            05/11/2017  06/15/2017          20.79
4543627956            05/11/2017  06/15/2017           9.08
5606496759            05/11/2017  06/15/2017           6.59
5722222501            05/11/2017  06/15/2017         277.12
5737778562            05/11/2017  06/15/2017         197.25
6372590007            05/11/2017  06/15/2017          31.96
6555515433            05/11/2017  06/15/2017          19.83
7976345004            05/11/2017  06/15/2017        2273.35
8395777488            05/11/2017  06/15/2017         204.57
8781417566            05/11/2017  06/15/2017         748.81
9864369971            05/11/2017  06/15/2017          28.41
0104237722            05/12/2017  06/16/2017        1716.37
0457904522            05/12/2017  06/16/2017         354.14
0853450005            05/12/2017  06/16/2017         269.15
1513230001            05/12/2017  06/16/2017         103.56
1606240008            05/12/2017  06/16/2017        6652.04
4926320674            05/12/2017  06/16/2017         190.93
5413067249            05/12/2017  06/16/2017         259.36
8245865004            05/12/2017  06/16/2017        1303.06
8485977501            05/12/2017  06/16/2017         614.55
9271454192            05/12/2017  06/16/2017         522.00
9523688605            05/12/2017  06/16/2017         455.10
2547693222            05/15/2017  06/19/2017          26.03
2870226384            05/15/2017  06/19/2017         158.65
3110640004            05/15/2017  06/19/2017         330.46

83 VA Dominion Invoices for a Total Invoice Amount of $62623.04

83 Total Alexandria Invoices for a Total Invoice Amount of $62623.04


Organization:   Total

83 Total Invoices for a Total Invoice Amount of $62623.04

