
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 03/06/2019

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
1897664189            02/27/2019  04/03/2019        1372.47
2096325002            02/27/2019  04/03/2019        7922.22
2106427509            02/27/2019  04/03/2019        6162.99
2116335007            02/27/2019  04/03/2019        2724.05
9791176853            02/27/2019  04/03/2019         100.83
0823337506            03/04/2019  04/08/2019          13.30
0850668062            03/04/2019  04/08/2019           8.28
1118501327            03/04/2019  04/08/2019          32.88
1625039498            03/04/2019  04/08/2019         102.22
1765582505            03/04/2019  04/08/2019         115.92
1934161330            03/04/2019  04/08/2019           9.13
1973380007            03/04/2019  04/08/2019         170.13
2073392504            03/04/2019  04/08/2019         124.03
2123460004            03/04/2019  04/08/2019          43.24
2154604132            03/04/2019  04/08/2019         232.99
2291013056            03/04/2019  04/08/2019         134.17
2464858170            03/04/2019  04/08/2019          21.29
2689812424            03/04/2019  04/08/2019          10.18
3249452008            03/04/2019  04/08/2019         168.74
3341907974            03/04/2019  04/08/2019          32.31
3355630009            03/04/2019  04/08/2019          18.57
3675982502            03/04/2019  04/08/2019          37.45
4287681979            03/04/2019  04/08/2019          19.27
4626102505            03/04/2019  04/08/2019          72.63
4793367501            03/04/2019  04/08/2019         108.38
5033402503            03/04/2019  04/08/2019           6.59
5316252500            03/04/2019  04/08/2019        8621.52
5321630005            03/04/2019  04/08/2019         261.70
5411705006            03/04/2019  04/08/2019         357.50
5431647501            03/04/2019  04/08/2019        1898.60
5593500001            03/04/2019  04/08/2019          14.79
5611957373            03/04/2019  04/08/2019           8.28
5781917504            03/04/2019  04/08/2019           6.59
6124540409            03/04/2019  04/08/2019         226.60
6137557531            03/04/2019  04/08/2019         151.01
6167465670            03/04/2019  04/08/2019          23.16
6923515008            03/04/2019  04/08/2019          46.17
7005172502            03/04/2019  04/08/2019         152.49
7122056133            03/04/2019  04/08/2019           6.89
7967529061            03/04/2019  04/08/2019        -492.03
7996733445            03/04/2019  04/08/2019          26.17
8266487381            03/04/2019  04/08/2019          36.41
8359428136            03/04/2019  04/08/2019          21.93
8702071724            03/04/2019  04/08/2019         243.03
8973730404            03/04/2019  04/08/2019         492.14
9116039182            03/04/2019  04/08/2019          35.15
9995390003            03/04/2019  04/08/2019          95.87

47 VA Dominion Invoices for a Total Invoice Amount of $31998.23

47 Total Alexandria Invoices for a Total Invoice Amount of $31998.23


Organization:   Total

47 Total Invoices for a Total Invoice Amount of $31998.23

