
Alexandria Transmission Session Summary Report
----------------------------------------------

Process Date: 10/12/2011

Organization:   Alexandria

Acct #:               Bill Date:  Due Date:          Total:
0215490004            10/04/2011  11/08/2011         106.42
0851910000            10/04/2011  11/08/2011        1095.79
1704970001            10/04/2011  11/08/2011         114.20
1735865006            10/04/2011  11/08/2011         298.94
2186032500            10/04/2011  11/08/2011        2995.06
3419594464            10/04/2011  11/08/2011        4591.57
3870683699            10/04/2011  11/08/2011          76.10
4676162508            10/04/2011  11/08/2011         469.71
5210403555            10/04/2011  11/08/2011         483.88
5265675008            10/04/2011  11/08/2011         191.20
5411705006            10/04/2011  11/08/2011        -101.05
5746157501            10/04/2011  11/08/2011          40.79
5837025922            10/04/2011  11/08/2011         144.58
6395925008            10/04/2011  11/08/2011         164.31
6604225000            10/04/2011  11/08/2011           5.66
8486060000            10/04/2011  11/08/2011         924.03
8555470007            10/04/2011  11/08/2011          83.03
8975650279            10/04/2011  11/08/2011           8.53
9026057506            10/04/2011  11/08/2011         577.59
9423383257            10/04/2011  11/08/2011         260.85
9581789907            10/04/2011  11/08/2011           6.26
0313545006            10/05/2011  11/09/2011         304.70
0551576051            10/05/2011  11/09/2011         235.21
1156320002            10/05/2011  11/09/2011        3538.80
1545407502            10/05/2011  11/09/2011         116.44
1856265002            10/05/2011  11/09/2011        3443.79
2865622506            10/05/2011  11/09/2011         234.14
3033837505            10/05/2011  11/09/2011         398.91
3856202134            10/05/2011  11/09/2011         557.14
4696475005            10/05/2011  11/09/2011       29884.68
5658873640            10/05/2011  10/27/2011         698.12
6414967502            10/05/2011  11/09/2011          25.67
6626365008            10/05/2011  11/09/2011       11480.57
6976229325            10/05/2011  11/09/2011         390.01
7146330001            10/05/2011  11/09/2011        3419.26
7352631019            10/05/2011  11/09/2011        2490.95
8703872054            10/05/2011  11/09/2011         790.68
8955365005            10/05/2011  11/09/2011         781.74
0662927573            10/06/2011  11/10/2011        2671.27
1043295003            10/06/2011  11/10/2011           5.66
1312808247            10/06/2011  11/10/2011          54.83
2040619443            10/06/2011  11/10/2011        6396.77
2174476057            10/06/2011  11/10/2011          62.95
2225822507            10/06/2011  11/10/2011         300.53
2923347955            10/06/2011  11/10/2011         139.64
3103257501            10/06/2011  11/10/2011         314.89
3470617501            10/06/2011  11/10/2011         318.64
6070697393            10/06/2011  11/10/2011           8.53
6670610002            10/06/2011  11/10/2011          65.82
6855697501            10/06/2011  11/10/2011         292.01
7199264891            10/06/2011  11/10/2011         235.91
7236357500            10/06/2011  11/10/2011        2873.74
7320592509            10/06/2011  11/10/2011          29.80
7448178173            10/06/2011  11/10/2011          70.87
7835036513            10/06/2011  11/10/2011        1464.09
8515290008            10/06/2011  11/10/2011         414.15
8525402502            10/06/2011  11/10/2011         190.00
8954752245            10/06/2011  11/10/2011          63.15
8965342507            10/06/2011  11/10/2011          23.48
9091146192            10/06/2011  11/10/2011         283.90
9216886433            10/06/2011  11/10/2011          41.57
0014940001            10/07/2011  11/14/2011         696.19
2990617504            10/07/2011  11/14/2011          62.66
4032400121            10/07/2011  11/14/2011         385.63
5863539630            10/07/2011  11/14/2011        1426.98
6265845005            10/07/2011  11/14/2011         890.93
7800570009            10/07/2011  11/14/2011         480.62
7852141840            10/07/2011  11/14/2011        2831.24
9006000005            10/07/2011  11/14/2011         389.98
0035425008            10/10/2011  11/14/2011          33.52
0045282506            10/10/2011  11/14/2011          68.14
0865355002            10/10/2011  11/14/2011         108.76
0875041303            10/10/2011  11/14/2011          43.07
0886617919            10/10/2011  11/14/2011          67.39
0899594022            10/10/2011  11/14/2011          25.24
0906461793            10/10/2011  11/14/2011          47.52
0917312621            10/10/2011  11/14/2011          32.88
0925594723            10/10/2011  11/14/2011          61.96
0939811717            10/10/2011  11/14/2011          29.12
0949361505            10/10/2011  11/14/2011          69.68
0957987662            10/10/2011  11/14/2011          63.64
0962345666            10/10/2011  11/14/2011          22.88
1030506974            10/10/2011  11/14/2011         -29.91
2342127509            10/10/2011  11/14/2011         175.84
2596065009            10/10/2011  11/14/2011         124.01
2942720000            10/10/2011  11/14/2011          98.07
3004480236            10/10/2011  11/14/2011          20.69
5722222501            10/10/2011  11/14/2011         280.74
5737778562            10/10/2011  11/14/2011         115.11
6372590007            10/10/2011  11/14/2011          51.87
6904957500            10/10/2011  11/14/2011          80.85
7902610000            10/10/2011  11/14/2011          86.90
7976345004            10/10/2011  11/14/2011        2993.29
8395777488            10/10/2011  11/14/2011         282.89
9304957500            10/10/2011  11/14/2011         291.62

95 VA Dominion Invoices for a Total Invoice Amount of $100060.46

95 Total Alexandria Invoices for a Total Invoice Amount of $100060.46

Organization:   Total

95 Total Invoices for a Total Invoice Amount of $100060.46

